sample	read_num	uniq_num	unmap	rRNA	spikein	univec	pri_miRNA	lncRNA	mRNA	piRNA	snoRNA	snRNA	srpRNA	tRNA	tucpRNA	Y_RNA	intron_for	intron_rev	promoter_for	promoter_rev	enhancer_for	enhancer_rev	repeats_for	repeats_rev	passQC
SRR10080601	7103476	3176398	0.377902733816515	0.000228057362339227	0	0.00281298902114965	1.98494370924882e-05	0.0161349176093507	0.077433921083143	0	1.26698534632904e-06	0.000324629800959418	1.28106296128825e-05	0	0.0018086919699595	1.40776149592115e-07	0.00928686181244225	0.38040319978557	0.00855623359605917	0.00969666118390489	0.0290478914829866	0.0742784236900357	0.00530655695887478	0.00674416299850946	TRUE
SRR10080602	7604367	2898389	0.48087184640089	0.00014649477070215	0	0.000268135401671171	6.96967939606281e-06	0.0198835747932734	0.0359635456836841	0	5.26013539325496e-07	3.14293089746984e-05	2.45911329634669e-05	2.63006769662748e-07	0.00137762945949347	0	0.00954162259659483	0.242265003780065	0.0137155400311426	0.0154887316722089	0.0506539203065817	0.119428349526003	0.0029663218516413	0.00736550458440525	TRUE
SRR10080603	9996165	4156672	0.399977191252845	0.0003607383431546	0	0.00100808660121156	1.34051408715242e-05	0.0214557282717922	0.0409528054008712	0	4.0015345885147e-07	2.51096295429297e-05	2.81107804843157e-05	0	0.00199256414835089	1.00038364712867e-07	0.0077434696205995	0.314513315856631	0.0152577513476418	0.0163878847538031	0.0520149477324554	0.117216952701361	0.00444960642406363	0.00660183180249626	TRUE
SRR10080604	6251590	2758199	0.403856138998239	0.000113571107510249	0	0.000314799914901649	1.66357678606562e-05	0.0181238692876532	0.0367736847745933	0	9.59755838114784e-07	1.7595523698771e-05	1.72756050860661e-05	1.59959306352464e-07	0.00136941162168344	0	0.00552675399378398	0.363699314894291	0.0124600301683252	0.0130680354917709	0.0419230947646919	0.094615289870257	0.00242290361332077	0.0056804748871887	TRUE
SRR10080605	6366126	2821064	0.45934654764923	0.000360815981336216	0	0.00038013699383267	8.63947713256068e-06	0.0162104865659272	0.0813453896451311	0	0	1.63364658506602e-05	4.42969554796748e-05	0	0.00116255945923785	3.14162804820388e-07	0.00588238435745695	0.278963690005507	0.0097338632631525	0.0120406036575462	0.038276025325292	0.0881097860771213	0.00161683887500813	0.00650128508295312	TRUE
SRR10080606	10812105	4326499	0.399813172365603	0.000337492097977221	0	0.000448478811480281	5.36435781931456e-06	0.0274570955424499	0.0245803199284506	0	9.24889279192165e-08	3.7180549023525e-05	4.3562285049951e-05	0	0.0016171689046675	0	0.00783649437366729	0.267685154740913	0.0190370885225402	0.0189969483278233	0.0613061008933968	0.159323554478984	0.00188769901883121	0.0095870323123943	TRUE
SRR10080607	7868504	3468393	0.412084813072472	0.000152506753507401	0	0.000272224555010711	1.32172519706414e-05	0.0204122664231981	0.0535578300525742	0	1.27088961256168e-06	2.6561592902539e-05	3.46952864229338e-05	1.27088961256168e-07	0.00123644850406125	0	0.00567935150061562	0.304873200801575	0.0142624315880122	0.0146203141029095	0.0469086626886127	0.11734123792782	0.00129986589572808	0.00722297402403303	TRUE
SRR10080608	7376725	3125925	0.411199549935778	0.000337819289725454	0	0.000266649495541721	2.44010722915657e-05	0.0257680745859443	0.0485577271756776	0	5.42246050923682e-07	1.99275423714453e-05	2.48077568297585e-05	9.48930589116444e-07	0.00173532292446851	2.71123025461841e-07	0.00794485357662106	0.269206592356364	0.0170064628951194	0.0166423446719242	0.058588601310202	0.134251852956427	0.00145877743849744	0.00696447271655104	TRUE
SRR10080609	5e+06	2015498	0.4120202	0.0730976	2e-07	0.0006844	2.8e-06	0.1023492	0.3285372	0	1.5e-05	0.0002916	1.38e-05	4.66e-05	0.0011548	5.16e-05	0.010322	0.0137848	0.0040684	0.0073026	0.0211788	0.0221972	0.0021952	0.000686	TRUE
SRR10080610	3160920	1136936	0.465087063260064	0.105986231856548	3.16363590347114e-07	0.000315414499576073	1.26545436138846e-06	0.0953355352239221	0.226864647001506	0	1.01236348911077e-05	0.000316047226756767	2.87890867215874e-05	9.49090771041342e-06	0.00143439251863382	7.27636257798363e-06	0.00760316616681219	0.0125061690900118	0.00618649000923782	0.0124074636498235	0.0351717221568404	0.02810795591157	0.0015625197727244	0.00105791984612075	TRUE
