sample	read_num	uniq_num	unmap	rRNA	spikein	univec	pri_miRNA	lncRNA	mRNA	piRNA	snoRNA	snRNA	srpRNA	tRNA	tucpRNA	Y_RNA	intron_for	intron_rev	promoter_for	promoter_rev	enhancer_for	enhancer_rev	repeats_for	repeats_rev	passQC	mir_dup_ratio	mir_rmdup_num	QCrankSum
SRR6700382	11443652	2760424	0.517900666675289	0.0092896917872022	0.000632228243221657	0.00200713897975926	0.36857674455672	0.00991326894596235	0.00327814931806734	0.00511410168711876	7.88209917603227e-05	0.000128717650624119	2.90117175880567e-05	0.00196799063795369	0.00251554311508249	0.040342803154098	0.00305960020455009	0.00428132557683509	0.00722470414164989	0.00173956705429351	0.00629362025339463	0.0111438201720919	0.0025478754509487	0.00193460968578912	TRUE	0.999017038007864	4146	605
SRR6700383	6513091	1234920	0.524116736584826	0.0101130169991483	0.000859039125969528	0.0026354614114865	0.293593164904344	0.00605058335589047	0.00287866390934811	0.00724786433968142	6.46390477271084e-05	0.000174264416081397	1.47395453249463e-05	0.00155210483010294	0.00146320694736186	0.121486403306817	0.00171869239966093	0.00253412703737749	0.00847477795105273	0.00109563953582101	0.00394436374372782	0.0067324408640997	0.00183461278216441	0.00141545696198625	TRUE	0.998474008196846	2918	668
SRR6700481	5659380	1609629	0.443706377730423	0.0191077467849835	0.00148744208729578	0.0147318257476967	0.424090624768084	0.0140444713025102	0.00701879004413911	0.0131751181224798	0.000117680735345568	0.000312225014047475	1.5549406472087e-05	0.00248755163993229	0.00326237149652435	0.0115069141849461	0.00346274680265329	0.00601832709590096	0.00917167604931989	0.00244019662931275	0.00835745258314515	0.00942276362428393	0.00361541370256106	0.00244673444794306	TRUE	0.998783378956623	2920	299
SRR6700482	6617737	2252001	0.355788693325226	0.0156047301366011	0.000898494455128694	0.0154832384544747	0.489913545975006	0.0189433336501587	0.00530800785827542	0.0102734514834905	8.55277264720553e-05	0.00030826247703709	3.5812846596956e-05	0.00482521441997468	0.00395029297779588	0.0240177269057383	0.00437279390220554	0.00579427680489569	0.016922703334992	0.00280337523234906	0.00910008965300374	0.00951911506909386	0.00363598613846395	0.00241532717302002	TRUE	0.998762229270425	4013	697
SRR6700483	7057351	2777335	0.283248062906323	0.0086090375836486	0.000539437531164314	0.0155514441608473	0.6296165515928	0.00499819266464145	0.00181923784150739	0.00468135990402064	9.90456617504217e-05	0.000170318863267535	7.08481128400727e-06	0.00202413058384088	0.000764026048867344	0.0260237871121898	0.00088659328408067	0.00155242384855167	0.0102382607865189	0.000707772647272326	0.00253891297173685	0.00413342059931552	0.00108808531699784	0.000702813279373521	TRUE	0.999212769428988	3498	322
SRR6700484	7009392	2348339	0.313047836388663	0.0109747036547535	0.000630582509866762	0.0141166309431688	0.601870033806071	0.00731547044308551	0.00296873109679128	0.00738580464610911	8.00354724061659e-05	9.27327220392297e-05	1.04145980136366e-05	0.00195780176083746	0.00125331840479174	0.0127015296048502	0.00143065190247599	0.00246726106914837	0.0108595724136986	0.00103575317231509	0.00375296459379073	0.00384241600412703	0.00125174908180339	0.000954005711194352	TRUE	0.999224413527916	3272	549
SRR6700485	6525906	1991335	0.363722830209323	0.014890805966252	0.00138126414937635	0.0158431641522265	0.499556536670924	0.0122093392089926	0.00484132011708413	0.00908149764952177	0.000123660990519937	0.000182963101215371	1.31782468212077e-05	0.00347491980423868	0.00270583119033587	0.0283925327762919	0.002719928849726	0.00456089928356308	0.0130585699518197	0.00206285533380346	0.00775064795600795	0.00879188269031151	0.00254125634049893	0.00209411536114679	TRUE	0.998884682761876	3636	653
SRR6700486	7009893	2095661	0.396381371299105	0.0274181075231819	0.0016520936910164	0.0135099066419416	0.480616037933817	0.0114572362231492	0.00608953660205655	0.00447011102737232	9.2298127803092e-05	0.000193868865045444	8.41667626025105e-06	0.00194168441658097	0.00311431287182272	0.0119341336593868	0.00267122479615595	0.00529109360157138	0.0086011298603274	0.00247093643226794	0.00919529014208919	0.00716430336383166	0.00325097686940443	0.00247592937581216	TRUE	0.99896915080644	3473	576
SRR6700487	7154688	2401959	0.289460700452626	0.00878361152855303	0.00079556229426077	0.00998114802490339	0.610723346706383	0.00680029653284672	0.00278139312294261	0.0054133737208387	8.16248032059539e-05	8.88927651352512e-05	9.22472091026192e-06	0.00245657113210248	0.00142605799162731	0.0337452870062258	0.00133758453198798	0.00254518436024045	0.00929194955810791	0.00121472802168313	0.00444575640475168	0.00620264643266066	0.00127720454057535	0.00113785534743094	TRUE	0.999179546565024	3585	602
SRR6700488	12172384	3642742	0.40773081098986	0.0284224520028287	0.00180014038334643	0.0203699620386606	0.407155410148086	0.0171909627563508	0.00785860846979524	0.00916320089803279	9.28330884073325e-05	0.000240051579049757	2.18527447047349e-05	0.0032982856932545	0.00382020481772511	0.0359471078138843	0.00428667054867806	0.00711972280861333	0.0143521597741248	0.00320923165092393	0.0106719439675909	0.0110156728542248	0.00366205995473031	0.00257065501712729	TRUE	0.999013327543779	4890	278
SRR6700489	7739301	2309758	0.401204449859231	0.0177282160236435	0.00166965983103642	0.0143113699803122	0.442746832045943	0.0156194984534133	0.0080761815569649	0.00891165752566026	0.000137092484192048	0.000189810423447802	1.75726464185848e-05	0.00526339523427245	0.00334229150668775	0.03022766526331	0.00376377659946292	0.00645303755468356	0.0138223077252067	0.00271342334404619	0.00925212755002034	0.00951739698455972	0.00280891000362953	0.00222332740385727	TRUE	0.998800251331441	4111	551
SRR6700490	8243217	2184273	0.507062351991947	0.0190686475923174	0.0015696541774892	0.0468921296139602	0.296849154886982	0.021583078548096	0.00690907445479113	0.0145073215954402	9.91117909427836e-05	0.000133564359642601	3.53017517311506e-05	0.0036086639475826	0.00470787072571303	0.0233628448699094	0.00491592056838974	0.00731170852350484	0.0118491360836431	0.00286854027984463	0.00976427042985766	0.0105252597377941	0.00362310005911527	0.00275329401130651	TRUE	0.998210455939374	4379	536
