sample	read_num	uniq_num	unmap	rRNA	spikein	univec	pri_miRNA	lncRNA	mRNA	piRNA	snoRNA	snRNA	srpRNA	tRNA	tucpRNA	Y_RNA	intron_for	intron_rev	promoter_for	promoter_rev	enhancer_for	enhancer_rev	repeats_for	repeats_rev	passQC
SRR6700514	5623016	152781	0.970528983022634	0.000258402252456689	5.86873663528612e-06	0.0161827745110453	0.000741061380582947	0.000471455176367985	0.000891336606547091	1.33380378074684e-05	2.84544806559327e-06	1.60056453689621e-06	2.31192655329453e-06	2.29414250288457e-05	0.000373820739617316	6.65123485332427e-05	0.000492262515347635	0.00270068589525621	0.00241205075710259	0.000340920246358893	0.00153049537828098	0.00237772753981138	0.000366884959957432	0.00021572053147279	FALSE
SRR6700515	5167791	155061	0.96807030315274	0.000245559466317427	2.51558160924078e-06	0.0143384281601172	0.00164248128455659	0.00024672050398323	0.000643601879410371	2.08986779844618e-05	5.80518832901718e-07	1.74155649870515e-06	2.90259416450859e-06	4.43129375781644e-05	0.000311545106990588	9.17219755984714e-05	0.000459577409380526	0.00180425253265854	0.00281416179562989	0.00028290617790077	0.00117942076217866	0.00734046713576459	0.000296064604779876	0.000159836185325606	FALSE
SRR6700517	5e+06	108702	0.9763874	0.0001848	4.2e-06	0.0149356	0.0008144	0.0004376	0.000515	1.24e-05	2e-07	1.6e-06	2e-07	4.38e-05	0.0002348	1.82e-05	0.0004134	0.0022924	0.0007626	0.000212	0.0010518	0.0013356	0.0002206	0.0001214	FALSE
SRR6700518	5724345	110655	0.9788435183414	0.000139055210683493	1.39753980586425e-06	0.0137734535566951	0.000600068654142963	0.000424677408506999	0.000705058832058515	1.43247830101086e-05	1.74692475733031e-07	8.73462378665157e-07	8.73462378665157e-07	1.88667873791674e-05	0.000237581766996923	2.58544864084887e-05	0.000379082672340678	0.00150951768280912	0.000768821585701071	0.000219588441996421	0.000877829690558483	0.00107016610634055	0.000239503384229986	0.000149711451703208	FALSE
SRR6700519	5754275	183359	0.966603785880932	0.000168396539963766	1.21648687280326e-06	0.0106082868823614	0.00325688292617228	0.000270407653440268	0.000461569876309353	3.09335233369973e-05	1.73783838971895e-07	2.08540606766274e-06	2.78054142355032e-06	6.46475880975449e-05	0.000360949033544626	0.000213406554257487	0.000302210095972125	0.00145978424736392	0.00598946001016636	0.000169613026836569	0.00090610893639946	0.00871091492846623	0.00027423089789765	0.00014215518027901	FALSE
SRR6700560	7847467	254110	0.96631664714232	0.000244282645597618	4.07774890929774e-06	0.0115511157931598	0.00265920200747579	0.000254222158564031	0.000214591536351794	8.61424457089147e-05	6.37148267077772e-07	1.4017261875711e-06	4.33260821612885e-06	6.29502487872839e-05	0.000293088202855775	0.000142976071132252	0.000370310572825601	0.000970504240412862	0.0072675679935959	0.000201466282049991	0.000889458980840569	0.00781309433986788	0.00039069931737209	0.000261230789501886	FALSE
SRR6700562	7085515	267100	0.959863750200232	0.000540257130215658	8.32684709580038e-06	0.00667093358774909	0.00192999379720458	0.000480840136532066	0.000523462303022434	3.76825114335373e-05	1.41133001623735e-06	4.09285704708832e-06	9.59704411041399e-06	5.7582264662484e-05	0.000475477082470364	0.000154964035782861	0.000660220181595833	0.00209399034509136	0.0114395354466119	0.000414225359765663	0.00159183912531411	0.0120313061224202	0.000624936931189899	0.000385575360436045	FALSE
SRR6700564	5e+06	105550	0.9776862	0.0001638	6e-07	0.0095866	0.0019082	0.000138	0.0001934	2.6e-05	2.2e-06	1.8e-06	2.4e-06	3.36e-05	0.0001476	9.74e-05	0.0002764	0.000518	0.0045638	8.62e-05	0.0004054	0.0039232	0.0001604	7.88e-05	FALSE
SRR6700566	5e+06	149081	0.968729	0.0001906	2e-07	0.0201962	0.0012958	0.0003508	0.000286	2.86e-05	8e-07	1.2e-06	4.2e-06	3.28e-05	0.0001746	7.92e-05	0.000336	0.0010624	0.003573	0.000146	0.0005772	0.0025748	0.0002198	0.0001408	FALSE
SRR6700568	5e+06	208549	0.9565006	0.0002484	1.6e-06	0.0253644	0.0015054	0.000216	0.0004928	2.04e-05	3.6e-06	6e-07	7e-06	4.7e-05	0.0002066	0.0001114	0.000346	0.001597	0.0056514	0.000218	0.0008788	0.0062378	0.000212	0.0001332	FALSE
SRR6700569	5e+06	121068	0.9733162	0.0005572	1.1e-05	0.005855	0.0026378	0.0004746	0.000383	3.5e-05	6.2e-06	2.8e-06	1.52e-05	8.36e-05	0.0003128	0.000178	0.000683	0.0013788	0.0063696	0.000298	0.0010738	0.0055176	0.0005064	0.0003044	FALSE
