File Name	Project ID	Sample Type
TCGA-EP-A26S-11A-12R-A16S-13_mirna_gdc_realn.bam	TCGA-LIHC	Solid Tissue Normal
TCGA-EP-A26S-01A-11R-A16S-13_mirna_gdc_realn.bam	TCGA-LIHC	Primary Tumor
TCGA-EP-A3RK-11A-11R-A22J-13_mirna_gdc_realn.bam	TCGA-LIHC	Solid Tissue Normal
TCGA-EP-A3RK-01A-11R-A22J-13_mirna_gdc_realn.bam	TCGA-LIHC	Primary Tumor
TCGA-ES-A2HT-01A-12R-A17X-13_mirna_gdc_realn.bam	TCGA-LIHC	Primary Tumor
TCGA-ES-A2HT-11A-11R-A17X-13_mirna_gdc_realn.bam	TCGA-LIHC	Solid Tissue Normal
TCGA-FV-A23B-01A-11R-A16S-13_mirna_gdc_realn.bam	TCGA-LIHC	Primary Tumor
TCGA-FV-A23B-11A-11R-A16S-13_mirna_gdc_realn.bam	TCGA-LIHC	Solid Tissue Normal
TCGA-FV-A2QR-01A-11R-A214-13_mirna_gdc_realn.bam	TCGA-LIHC	Primary Tumor
TCGA-FV-A2QR-11A-11R-A214-13_mirna_gdc_realn.bam	TCGA-LIHC	Solid Tissue Normal
TCGA-FV-A3I0-01A-11R-A22J-13_mirna_gdc_realn.bam	TCGA-LIHC	Primary Tumor
TCGA-FV-A3I0-11A-11R-A22J-13_mirna_gdc_realn.bam	TCGA-LIHC	Solid Tissue Normal
TCGA-FV-A3I1-01A-11R-A22J-13_mirna_gdc_realn.bam	TCGA-LIHC	Primary Tumor
TCGA-FV-A3I1-11A-11R-A22J-13_mirna_gdc_realn.bam	TCGA-LIHC	Solid Tissue Normal
TCGA-G3-A3CH-01A-11R-A22J-13_mirna_gdc_realn.bam	TCGA-LIHC	Primary Tumor
TCGA-G3-A3CH-11A-11R-A22J-13_mirna_gdc_realn.bam	TCGA-LIHC	Solid Tissue Normal
