File Name	Project ID	Sample Type
TCGA-BH-A0H5-11A-62R-A114-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-BH-A0H5-01A-21R-A114-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-BH-A0H7-11A-13R-A090-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-BH-A0H7-01A-13R-A057-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-BH-A0HA-01A-11R-A12O-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-BH-A0HA-11A-31R-A12O-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-BH-A0HK-11A-11R-A090-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-BH-A0HK-01A-11R-A057-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-BH-A18J-01A-11R-A12C-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-BH-A18J-11A-31R-A12C-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-BH-A18K-01A-11R-A12C-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-BH-A18K-11A-13R-A12C-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-BH-A18L-01A-32R-A12C-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-BH-A18L-11A-42R-A12C-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-BH-A18M-11A-33R-A12C-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-BH-A18M-01A-11R-A12C-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-BH-A18N-01A-11R-A12C-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-BH-A18N-11A-43R-A12C-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-BH-A18P-01A-11R-A12C-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-BH-A18P-11A-43R-A12C-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-BH-A18Q-01A-12R-A12C-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-BH-A18Q-11A-34R-A12C-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-BH-A18R-11A-42R-A12C-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-BH-A18R-01A-11R-A12C-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-BH-A18S-11A-43R-A12C-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-BH-A18S-01A-11R-A12C-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-BH-A18U-11A-23R-A12C-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-BH-A18U-01A-21R-A12C-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-BH-A1EN-11A-23R-A13P-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-BH-A1EN-01A-11R-A13P-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-BH-A1EO-11A-31R-A136-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-BH-A1EO-01A-11R-A136-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-BH-A1ET-11B-23R-A136-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-BH-A1ET-01A-11R-A136-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-BH-A1EU-01A-11R-A136-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-BH-A1EU-11A-23R-A136-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-BH-A1EV-01A-11R-A136-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-BH-A1EV-11A-24R-A136-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-BH-A1EW-01A-11R-A136-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
TCGA-BH-A1EW-11B-33R-A136-13_mirna_gdc_realn.bam	TCGA-BRCA	Solid Tissue Normal
TCGA-BH-A1F0-01A-11R-A136-13_mirna_gdc_realn.bam	TCGA-BRCA	Primary Tumor
